"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 16 21:33:29 MSK 2025","Fri May 16 21:33:31 MSK 2025","1983","","tests.CreateOrderTest","","tests.CreateOrderTest","createOrderWithAuthorizationWithWrongHashTest","РЎРѕР·РґР°РЅРёРµ Р·Р°РєР°Р·Р° СЃ Р°РІС‚РѕСЂРёР·Р°С†РёРµР№ СЃ РЅРµРІРµСЂРЅС‹Рј С…РµС€РµРј РёРЅРіСЂРµРґРёРµРЅС‚РѕРІ.","РџСЂРѕРІРµСЂРєР° СЃРѕР·РґР°РЅРёСЏgi Р·Р°РєР°Р·Р° СЃ Р°РІС‚РѕСЂРёР·Р°С†РёРµР№ СЃ РЅРµРІРµСЂРЅС‹Рј С…РµС€РµРј РёРЅРіСЂРµРґРёРµРЅС‚РѕРІ."
"passed","Fri May 16 21:33:45 MSK 2025","Fri May 16 21:33:47 MSK 2025","1966","","tests.OrderGetTests","","tests.OrderGetTests","getUserOrderWithAuthorizationTest","РџРѕР»СѓС‡РµРЅРёРµ СЃРїРёСЃРєР° Р·Р°РєР°Р·РѕРІ Р°РІС‚РѕСЂРёР·РѕРІР°РЅРЅС‹Р№ РїРѕР»СЊР·РѕРІР°С‚РµР»СЊ.","РЈСЃРїРµС€РЅР°СЏ РїСЂРѕРІРµСЂРєР° РїРѕР»СѓС‡РµРЅРёРµ СЃРїРёСЃРєР° Р·Р°РєР°Р·РѕРІ Р°РІС‚РѕСЂРёР·РѕРІР°РЅРЅРѕРіРѕ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ."
"passed","Fri May 16 21:33:37 MSK 2025","Fri May 16 21:33:39 MSK 2025","1802","","tests.CreateOrderTest","","tests.CreateOrderTest","createOrderWithoutAuthorizationWithWrongHashTest","РЎРѕР·РґР°РЅРёРµ Р·Р°РєР°Р·Р° Р±РµР· Р°РІС‚РѕСЂРёР·Р°С†РёРё СЃ РЅРµРІРµСЂРЅС‹Рј С…СЌС€РµРј РёРЅРіСЂРµРґРёРµРЅС‚РѕРІ.","РџСЂРѕРІРµСЂРєР° СЃРѕР·РґР°РЅРёСЏ Р·Р°РєР°Р·Р° Р±РµР· Р°РІС‚РѕСЂРёР·Р°С†РёРё СЃ РЅРµРІРµСЂРЅС‹Рј С…СЌС€РµРј РёРЅРіСЂРµРґРёРµРЅС‚РѕРІ."
"passed","Fri May 16 21:33:32 MSK 2025","Fri May 16 21:33:37 MSK 2025","4587","","tests.CreateOrderTest","","tests.CreateOrderTest","createOrderWithAuthorizationTest","РЎРѕР·РґР°РЅРёРµ Р·Р°РєР°Р·Р° СЃ Р°РІС‚РѕСЂРёР·Р°С†РёРё.","РЈСЃРїРµС€РЅРѕРµ СЃРѕР·РґР°РЅРёРµ Р·Р°РєР°Р·Р° СЃ Р°РІС‚РѕСЂРёР·Р°С†РёРё."
"passed","Fri May 16 21:33:49 MSK 2025","Fri May 16 21:33:50 MSK 2025","337","","tests.UserCreatingTests","","tests.UserCreatingTests","createUserWithoutNameTest","РџСЂРѕРІРµСЂРєР° СЃРѕР·РґР°РЅРёСЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· РёРјРµРЅРё.","Р РµРіРёСЃС‚СЂР°С†РёСЏ РїРѕРІРµСЂРєР° РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· РёРјРµРЅРё, РЅРѕ СЃ Р·Р°РїРѕР»РЅРµРЅРЅС‹РјРё email Рё password"
"passed","Fri May 16 21:33:39 MSK 2025","Fri May 16 21:33:40 MSK 2025","1611","","tests.CreateOrderTest","","tests.CreateOrderTest","createEmptyOrderWithoutAuthorization","РЎРѕР·РґР°РЅРёРµ Р·Р°РєР°Р·Р° Р±РµР· РёРЅРіСЂРµРґРёРµРЅС‚РѕРІ Рё Р±РµР· Р°РІС‚РѕСЂРёР·Р°С†РёРё.","РџСЂРѕРІРµСЂРєР° СЃРѕР·РґР°РЅРёСЏ Р·Р°РєР°Р·Р° Р±РµР· РёРЅРіСЂРµРґРёРµРЅС‚РѕРІ Рё Р±РµР· Р°РІС‚РѕСЂРёР·Р°С†РёРё."
"passed","Fri May 16 21:33:25 MSK 2025","Fri May 16 21:33:27 MSK 2025","1613","","tests.ChangeUserTest","","tests.ChangeUserTest","changeUserPasswordWithAuthorizationTest","Р�Р·РјРµРЅРµРЅРёРµ РїР°СЂРѕР»СЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ СЃ Р°РІС‚РѕСЂРёР·Р°С†РёРµР№.","РЈСЃРїРµС€РЅРѕРµ РёР·РјРµРЅРµРЅРёРµ РїР°СЂРѕР»СЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ СЃ Р°РІС‚РѕСЂРёР·Р°С†РёРµР№."
"passed","Fri May 16 21:33:45 MSK 2025","Fri May 16 21:33:45 MSK 2025","361","","tests.LoginUserTests","","tests.LoginUserTests","authorizationWithoutLoginTest","РђРІС‚РѕСЂРёР·Р°С†РёСЏ Р±РµР· Р»РѕРіРёРЅР°.","РђРІС‚РѕСЂРёР·Р°С†РёСЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· Р»РѕРіРёРЅР°."
"passed","Fri May 16 21:33:21 MSK 2025","Fri May 16 21:33:25 MSK 2025","4016","","tests.ChangeUserTest","","tests.ChangeUserTest","changeUserNameWithAuthorizationTest","Р�Р·РјРµРЅРµРЅРёРµ РёРјРµРЅРё РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ СЃ Р°РІС‚РѕСЂРёР·Р°С†РёРµР№.","РЈСЃРїРµС€РЅРѕРµ РёР·РјРµРЅРµРЅРёРµ РёРјРµРЅРё РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ СЃ Р°РІС‚РѕСЂРёР·Р°С†РёРµР№."
"passed","Fri May 16 21:33:50 MSK 2025","Fri May 16 21:33:50 MSK 2025","435","","tests.UserCreatingTests","","tests.UserCreatingTests","createUserWithoutNameAndEmailTest","РџСЂРѕРІРµСЂРєР° СЃРѕР·РґР°РЅРёСЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· РёРјРµРЅРё Рё email.","Р РµРіРёСЃС‚СЂР°С†РёСЏ РїРѕРІРµСЂРєР° РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· РёРјРµРЅРё Рё email, РЅРѕ СЃ Р·Р°РїРѕР»РЅРµРЅРЅС‹РјРё password."
"passed","Fri May 16 21:33:49 MSK 2025","Fri May 16 21:33:49 MSK 2025","339","","tests.UserCreatingTests","","tests.UserCreatingTests","createUserWithoutNameAndPasswordTest","РџСЂРѕРІРµСЂРєР° СЃРѕР·РґР°РЅРёСЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· РёРјРµРЅРё Рё РїР°СЂРѕР»СЏ.","Р РµРіРёСЃС‚СЂР°С†РёСЏ РїРѕРІРµСЂРєР° РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· РёРјРµРЅРё Рё РїР°СЂРѕР»СЏ, РЅРѕ СЃ Р·Р°РїРѕР»РЅРµРЅРЅС‹РјРё email."
"passed","Fri May 16 21:33:52 MSK 2025","Fri May 16 21:33:52 MSK 2025","336","","tests.UserCreatingTests","","tests.UserCreatingTests","createUserWithoutPasswordTest","РџСЂРѕРІРµСЂРєР° СЃРѕР·РґР°РЅРёСЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· РїР°СЂРѕР»СЏ.","Р РµРіРёСЃС‚СЂР°С†РёСЏ РїРѕРІРµСЂРєР° РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· РїР°СЂРѕР»СЏ, РЅРѕ СЃ Р·Р°РїРѕР»РЅРµРЅРЅС‹РјРё РёРјРµРЅРµРј Рё email."
"passed","Fri May 16 21:33:42 MSK 2025","Fri May 16 21:33:43 MSK 2025","325","","tests.LoginUserTests","","tests.LoginUserTests","authorizationWithoutLoginAndPasswordTest","РђРІС‚РѕСЂРёР·Р°С†РёСЏ Р±РµР· Р»РѕРіРёРЅР° РїР°СЂРѕР»СЏ.","РђРІС‚РѕСЂРёР·Р°С†РёСЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· РїР°СЂРѕР»СЏ"
"passed","Fri May 16 21:33:52 MSK 2025","Fri May 16 21:33:53 MSK 2025","1537","","tests.UserCreatingTests","","tests.UserCreatingTests","checkRegisteredUserTest","РџСЂРѕРІРµСЂРєР° СЃРѕР·РґР°РЅРёСЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ, РєРѕС‚РѕСЂС‹Р№ СѓР¶Рµ Р·Р°СЂРµРіРёСЃС‚СЂРёСЂРѕРІР°РЅ.","Р РµРіРёСЃС‚СЂР°С†РёСЏ СѓР¶Рµ Р·Р°СЂРµРіРёСЃС‚СЂРёСЂРѕРІР°РЅРЅРѕРіРѕ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ."
"passed","Fri May 16 21:33:27 MSK 2025","Fri May 16 21:33:29 MSK 2025","1534","","tests.ChangeUserTest","","tests.ChangeUserTest","changeUserEmailWithAuthorizationTest","Р�Р·РјРµРЅРµРЅРёРµ email РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ СЃ Р°РІС‚РѕСЂРёР·Р°С†РёРµР№.","РЈСЃРїРµС€РЅРѕРµ РёР·РјРµРЅРµРЅРёРµ email РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ СЃ Р°РІС‚РѕСЂРёР·Р°С†РёРµР№."
"passed","Fri May 16 21:33:42 MSK 2025","Fri May 16 21:33:42 MSK 2025","325","","tests.LoginUserTests","","tests.LoginUserTests","authorizationIncorrectPasswordTest","РђРІС‚РѕСЂРёР·Р°С†РёСЏ СЃ РЅРµРІРµСЂРЅС‹Рј РїР°СЂРѕР»РµРј.","РђРІС‚РѕСЂРёР·Р°С†РёСЏ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ c РЅРµРєРѕСЂСЂРµРєС‚РЅС‹Рј РїР°СЂРѕР»РµРј."
